observations,actions,rewards,next_observations
"[0.47651371359825134, -0.22920334339141846, -4.248529434204102, 12207.03125, 0.0, -3051.7578125]","[78.22584533691406, -67.23050689697266]",-0.0006698002689518034,"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[1.447047233581543, 0.34115317463874817, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[322.14794921875, -41.559715270996094]",-0.00017969879263546318,"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[1.0460680723190308, 0.8699344992637634, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[345.6405334472656, -15.760514259338379]",-0.0003539911995176226,"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[0.4022359549999237, 1.0841253995895386, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[280.2834167480469, -64.41758728027344]",-0.0005362351657822728,"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.27841275930404663, 1.0345795154571533, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[336.3726806640625, -38.57857131958008]",-0.00028388865757733583,"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.2768084406852722, 0.37808215618133545, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[31.03989601135254, -26.106908798217773]",-0.000661550322547555,"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-1.787333369255066, -0.5162240862846375, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[184.53285217285156, -27.041719436645508]",-0.0007904162630438805,"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[1.7425129413604736, 0.9501476287841797, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[227.1018829345703, -69.34799194335938]",-0.0006289638695307076,"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.2620680630207062, -0.2841161787509918, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[290.6094665527344, -36.39860534667969]",-0.0003454145335126668,"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.5775806307792664, -1.778831958770752, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[178.24037170410156, -59.29053497314453]",-0.000690000073518604,"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.29516878724098206, 1.7001556158065796, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[233.33982849121094, -55.6959114074707]",-0.0007407726952806115,"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.8799022436141968, 1.340972661972046, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[62.95439529418945, -63.88786697387695]",-0.0007752574165351689,"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.9472965598106384, 0.6682670712471008, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[219.2350311279297, -19.85840606689453]",-0.0007872928981669247,"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-1.217559576034546, 0.06126193329691887, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[160.31979370117188, -30.499313354492188]",-0.0007825982174836099,"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-1.0888315439224243, -0.586784303188324, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[71.75631713867188, -6.691376209259033]",-0.0007373124826699495,"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.6665576100349426, -1.104337453842163, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[344.3529052734375, -26.53706169128418]",-0.0001842234778450802,"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[-0.04443163424730301, -1.372559905052185, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[209.04275512695312, -36.48074722290039]",-0.0006812413339503109,"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[0.6228616237640381, -1.3157511949539185, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[132.84051513671875, -62.48644256591797]",-0.0006451138760894537,"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[1.1614267826080322, -0.9233241081237793, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[265.07861328125, -7.966678142547607]",-0.0005255651194602251,"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[1.4232844114303589, -0.3175472021102905, 0.22360678017139435, 12207.03125, 0.0, -3051.7578125]","[99.22964477539062, -49.72688674926758]",-0.0006460295990109444,"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]"
"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[9.240273475646973, -57.67963790893555]",-3.7030880451202393,"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[201.03372192382812, -24.953989028930664]",-8.966511726379395,"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[265.2941589355469, -36.882476806640625]",-8.997485160827637,"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[118.97522735595703, -52.924156188964844]",-8.033169746398926,"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[98.12083435058594, -50.16826248168945]",-7.4297027587890625,"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[106.58338928222656, -47.2547607421875]",-8.02016544342041,"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[296.5738830566406, -50.337650299072266]",-9.329554557800293,"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[21.327789306640625, -19.449228286743164]",-3.3016140460968018,"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[239.28945922851562, -37.89032745361328]",-9.739892959594727,"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[99.06744384765625, -47.42658233642578]",-7.698188304901123,"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[236.7442626953125, -69.76212310791016]",-8.695073127746582,"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[251.6515655517578, -56.006126403808594]",-9.421401977539062,"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[126.88447570800781, -45.61093521118164]",-9.503450393676758,"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[311.91595458984375, -42.37752914428711]",-8.271445274353027,"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[95.63095092773438, -11.099449157714844]",-9.085845947265625,"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[233.2657470703125, -44.04221725463867]",-11.167512893676758,"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[169.63087463378906, -26.16582489013672]",-9.834451675415039,"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[280.5788269042969, -57.86853790283203]",-9.023184776306152,"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[100.76155090332031, -5.427448749542236]",-8.600641250610352,"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, 0.8816140294075012, 0.5090000033378601, 0.8432549834251404]","[39.2674446105957, -0.21088702976703644]",-5.80349063873291,"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]"
"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[59.20234298706055, -14.290761947631836]",-2.591989278793335,"[0.0010000000474974513, 0.0, -0.014968999661505222, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[31.593246459960938, -47.04599380493164]",-7.831591606140137,"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[314.7629089355469, -51.148624420166016]",-8.82309341430664,"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[159.59327697753906, -30.651609420776367]",-8.418396949768066,"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[358.68426513671875, -40.103233337402344]",-8.499260902404785,"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[79.67430877685547, -0.40101054310798645]",-1.4960490465164185,"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[335.7032775878906, -20.358694076538086]",-10.76710033416748,"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[176.99618530273438, -52.55374526977539]",-8.892655372619629,"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[305.11590576171875, -58.80134201049805]",-10.140840530395508,"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[39.75687026977539, -31.886735916137695]",-7.367791652679443,"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[54.04606246948242, -13.450363159179688]",-1.8891950845718384,"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[73.75279998779297, -44.905548095703125]",-5.766956329345703,"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[328.9636535644531, -42.904273986816406]",-9.52106761932373,"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[253.96217346191406, -12.935595512390137]",-10.245960235595703,"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[287.519775390625, -19.415891647338867]",-12.07411003112793,"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[188.4195556640625, -68.17283630371094]",-10.674426078796387,"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[88.40835571289062, -61.02037811279297]",-9.17432975769043,"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[327.1746520996094, -9.674644470214844]",-10.822382926940918,"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[158.99647521972656, -15.440505027770996]",-9.888187408447266,"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, 0.2444230020046234, 0.7994710206985474, 0.06283800303936005]","[205.46746826171875, -56.55470275878906]",-13.12478256225586,"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]"
"[0.0010000000474974513, 0.0, -0.014968999661505222, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[59.17045211791992, -46.92742919921875]",-13.095349311828613,"[0.0010000000474974513, 0.0, -0.014968999661505222, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[299.5521240234375, -62.87690734863281]",-10.706934928894043,"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[188.91928100585938, -20.76709747314453]",-1.879212498664856,"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[131.43069458007812, -55.368019104003906]",-8.32152271270752,"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[56.583011627197266, -1.5112382173538208]",-9.53862476348877,"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[145.16256713867188, -61.56061935424805]",-7.454132556915283,"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[4.0739312171936035, -44.68275833129883]",-14.702083587646484,"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[267.9407043457031, -35.687950134277344]",-10.802461624145508,"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[326.7873840332031, -53.4450798034668]",-9.381875038146973,"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[121.3615493774414, -26.82905387878418]",-6.2974348068237305,"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[60.105281829833984, -50.32661437988281]",-12.387463569641113,"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[283.2182312011719, -42.65963363647461]",-8.610642433166504,"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[8.601991653442383, -14.427436828613281]",-8.96375560760498,"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[222.1788330078125, -69.07801055908203]",-7.392102241516113,"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[29.418859481811523, -48.22100830078125]",-11.399439811706543,"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[182.29397583007812, -66.9982681274414]",-7.290814399719238,"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[195.41258239746094, -11.399368286132812]",-4.130870342254639,"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[348.7620849609375, -0.5335807204246521]",-17.502609252929688,"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[241.51309204101562, -10.322998046875]",-9.943883895874023,"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, -0.8224700093269348, 0.08644499629735947, 0.19945499300956726]","[308.5975341796875, -53.830284118652344]",-10.791507720947266,"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]"
"[0.0010000000474974513, 0.0, -0.014968999661505222, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]","[76.02005004882812, -7.895169734954834]",-10.002975463867188,"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.6460959911346436, -0.4868679940700531, 0.4148330092430115]"
"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]","[146.28762817382812, -15.130738258361816]",-3.6339287757873535,"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.6460959911346436, -0.4868679940700531, 0.4148330092430115]"
"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]","[5.080410957336426, -57.01812744140625]",-11.314375877380371,"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.6460959911346436, -0.4868679940700531, 0.4148330092430115]"
"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]","[5.711916446685791, -20.011314392089844]",-9.833028793334961,"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.6460959911346436, -0.4868679940700531, 0.4148330092430115]"
"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]","[234.64637756347656, -36.296226501464844]",-7.560769081115723,"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.6460959911346436, -0.4868679940700531, 0.4148330092430115]"
"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]","[359.6134338378906, -50.67438888549805]",-9.345383644104004,"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.6460959911346436, -0.4868679940700531, 0.4148330092430115]"
"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]","[264.54656982421875, -18.80763816833496]",-8.273126602172852,"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.6460959911346436, -0.4868679940700531, 0.4148330092430115]"
"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]","[190.68971252441406, -6.29819917678833]",-3.716294288635254,"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.6460959911346436, -0.4868679940700531, 0.4148330092430115]"
"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, -0.8963789939880371, 0.2401839941740036, 0.3682039976119995]","[127.06109619140625, -27.02912139892578]",-5.18056583404541,"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.6460959911346436, -0.4868679940700531, 0.4148330092430115]"
