observations,actions,rewards,next_observations
"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, -0.7212449908256531, -0.06310100108385086, 0.059537000954151154]","[200.45095825195312, -64.34060668945312]",-9.686760902404785,"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]"
"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[342.07318115234375, -64.93550109863281]",-6.485654830932617,"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[305.2944641113281, -25.655519485473633]",-4.597744464874268,"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[259.2882385253906, -16.415348052978516]",-8.862157821655273,"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[50.17292404174805, -8.598590850830078]",-8.793790817260742,"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[286.66815185546875, -3.3961503505706787]",-8.002867698669434,"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[359.4624938964844, -47.449073791503906]",-5.119287014007568,"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[287.0975646972656, -45.43897247314453]",-9.163307189941406,"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[57.948604583740234, -14.575333595275879]",-8.279793739318848,"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[72.72850799560547, -16.86683464050293]",-9.452371597290039,"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[237.52120971679688, -15.923912048339844]",-10.78933334350586,"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[76.41202545166016, -21.013103485107422]",-10.005044937133789,"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[178.3630828857422, -22.21474266052246]",-11.741996765136719,"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[172.98544311523438, -68.97750854492188]",-13.222667694091797,"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[145.0544891357422, -20.877161026000977]",-10.488168716430664,"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[88.68566131591797, -23.877967834472656]",-10.87652587890625,"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[172.4788055419922, -44.849483489990234]",-14.366683959960938,"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[1.4961026906967163, -68.34185791015625]",-7.137093544006348,"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[283.284423828125, -39.494720458984375]",-7.776997089385986,"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[94.35070037841797, -23.682830810546875]",-8.53117847442627,"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, 0.8910899758338928, -0.255515992641449, 0.34098300337791443]","[264.3474426269531, -45.9434700012207]",-8.11115550994873,"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]"
"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.7429999709129333, 0.0, 0.4463520050048828]","[64.43623352050781, -28.16580581665039]",-7.3292999267578125,"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[107.69711303710938, -56.69410705566406]",-9.547750473022461,"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[302.7983093261719, -39.94566345214844]",-5.788818359375,"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[345.7323303222656, -59.872039794921875]",-4.6247992515563965,"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[226.16026306152344, -16.089426040649414]",-11.38601303100586,"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[357.8161315917969, -1.5140752792358398]",-3.996403932571411,"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[61.578636169433594, -13.174022674560547]",-8.83547592163086,"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[114.61968994140625, -17.822235107421875]",-10.251852035522461,"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[270.76092529296875, -24.0286865234375]",-9.567026138305664,"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[300.3660583496094, -57.89219284057617]",-8.258719444274902,"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[102.77149963378906, -65.62344360351562]",-9.293760299682617,"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[181.26788330078125, -69.24337768554688]",-10.150296211242676,"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[312.52276611328125, -13.686711311340332]",-6.6379499435424805,"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[237.15159606933594, -17.303325653076172]",-13.363221168518066,"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[39.002647399902344, -19.909015655517578]",-5.502774715423584,"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[10.25356674194336, -35.9510383605957]",-1.3860799074172974,"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[178.60394287109375, -43.74876403808594]",-9.566240310668945,"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[213.1623077392578, -61.63069534301758]",-9.049976348876953,"[0.01167299970984459, -0.08138299733400345, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[46.68522644042969, -18.600255966186523]",-5.230264663696289,"[0.05094999819993973, -0.051989998668432236, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, 0.7429999709129333, 0.0, 0.4463520050048828]","[164.9007110595703, -42.65126037597656]",-8.45544719696045,"[0.07004699856042862, -0.006616999860852957, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]"
"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[190.8366241455078, -62.006134033203125]",-11.096877098083496,"[0.0010000000474974513, 0.0, -0.014968999661505222, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[181.73086547851562, -30.163272857666016]",-9.32736873626709,"[0.0717800036072731, 0.0427200011909008, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[302.5996398925781, -11.24147891998291]",-9.309596061706543,"[0.04253700003027916, 0.0823260024189949, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[238.22576904296875, -4.847927570343018]",-9.045454025268555,"[-0.004416999872773886, 0.09836900234222412, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[17.164897918701172, -59.066993713378906]",-11.15163803100586,"[-0.05405599996447563, 0.0946580022573471, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[145.14923095703125, -69.21976470947266]",-9.075727462768555,"[-0.05393899977207184, 0.045485999435186386, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[52.609954833984375, -33.789512634277344]",-6.285252094268799,"[-0.16410000622272491, -0.021498000249266624, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[43.2415771484375, -66.32693481445312]",-8.516493797302246,"[0.09332799911499023, 0.08833400160074234, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[66.03433990478516, -58.07384490966797]",-8.22705078125,"[-0.05286400020122528, -0.004112999886274338, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[189.6749725341797, -42.69136428833008]",-10.989949226379395,"[-0.07587400078773499, -0.11606799811124802, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[247.1641845703125, -56.379798889160156]",-8.589774131774902,"[-0.055277999490499496, 0.14451000094413757, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[144.05641174316406, -15.995949745178223]",-7.696033000946045,"[-0.09792199730873108, 0.1176069974899292, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[84.19202423095703, -30.944719314575195]",-4.25789213180542,"[-0.10283699631690979, 0.06722100079059601, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[25.896657943725586, -21.762142181396484]",-8.036062240600586,"[-0.12254700064659119, 0.021756000816822052, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[300.30731201171875, -32.01925277709961]",-17.762805938720703,"[-0.11315900087356567, -0.02678300067782402, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[309.8415832519531, -3.759611129760742]",-10.812487602233887,"[-0.08236300200223923, -0.06554800271987915, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, 0.053697001188993454, 1.0245939493179321, 0.08485499769449234]","[25.7227783203125, -27.307056427001953]",-9.42981243133545,"[-0.03699199855327606, -0.08563800156116486, 3.099999958067201e-05, 0.4663259983062744, 0.5758649706840515, 0.3888680040836334]"
